iter	Passed	Remaining
0	175	175409
1	185	92430
2	230	76498
3	274	68306
4	286	56941
5	295	48976
6	318	45240
7	344	42675
8	460	50734
9	469	46492
10	485	43646
11	502	41382
12	517	39310
13	534	37661
14	564	37066
15	589	36276
16	608	35207
17	615	33601
18	630	32540
19	709	34763
20	711	33188
21	714	31764
22	870	36995
23	883	35949
24	891	34760
25	914	34243
26	949	34206
27	985	34222
28	1045	35019
29	1056	34164
30	1084	33908
31	1112	33646
32	1144	33535
33	1158	32927
34	1177	32453
35	1189	31852
36	1208	31440
37	1227	31062
38	1498	36928
39	1512	36302
40	1527	35726
41	1546	35277
42	1573	35022
43	1593	34631
44	1612	34216
45	1621	33621
46	1654	33540
47	1673	33195
48	1712	33243
49	1807	34351
50	1826	33992
51	1839	33537
52	1857	33191
53	1888	33088
54	1910	32826
55	1936	32645
56	1973	32649
57	1993	32380
58	2004	31973
59	2057	32229
60	2097	32293
61	2144	32447
62	2169	32268
63	2193	32082
64	2213	31846
65	2225	31489
66	2228	31029
67	2236	30646
68	2248	30338
69	2252	29928
70	2333	30534
71	2340	30169
72	2372	30128
73	2395	29977
74	2411	29739
75	2415	29370
76	2426	29085
77	2433	28760
78	2441	28463
79	2449	28168
81	2444	27366
81	2515	28166
82	2562	28311
83	2578	28122
84	2594	27925
85	2602	27657
86	2613	27424
87	2621	27167
89	2611	26406
90	2626	26237
91	2639	26047
92	2664	25983
92	2780	27118
93	2830	27279
94	2847	27127
95	2858	26919
96	2874	26759
97	2886	26571
98	2899	26385
99	2909	26188
100	2925	26035
101	2938	25869
102	2967	25845
103	2981	25684
104	2998	25561
105	3011	25400
106	3024	25245
107	3036	25081
108	3047	24913
109	3067	24816
110	3085	24712
111112	2899	227112113	2918	226113114	2932	225114115	2953	225115	3181	24242
116	3204	24182
117	3213	24020
118119	3039	22290
120	3053	22180
121	3058	2201122	3307	23582
123	3342	23614
12124	3246	22725
125	3255	22579
126	3262	22428
127	3268	22269
128	3273	22103
129	3279	21946
130	3290	21824
131	3298	21690
132	3317	2162133	3590	23203
134	3612	23143
135	3631	23069
13136	3527	22220
137	3530	22053
138	3537	21912
139	3545	21776
140	3551	21636
141	3566	21547
142	3573	21418
143	3580	2128144	3863	22783
145	3890	22756
146	3909	22685
14147	3765	21675
148	3774	21555
149	3779	21416
150	3783	212715151	3787	211315152	3792	2099153	3997	21958
154	4015	21889
155	4162	22518
156	4182	22459
157	4194	22355
158	4208	22259
15159	3835	20137
160	3842	200216161	3845	1989162	4251	21828
163	4257	21704
164	4295	21736
165	4312	21664
166	4314	21521
167	4436	21969
168	4452	21893
169	4469	21820
170	4493	21783
171	4505	21691
17172	4047	19348
173	4059	19269
174	4070	19188
175	4077	19089
176	4084	18992
177	4090	1888178	4681	21470
179	4721	21507
180	4731	21410
181	4742	21313
182	4750	21206
183	4759	21184	184	4771	21185	47185	4327	18937
186	4336	187	47187	4346	188	4760	20427
189	189	4889	20845
190	4900	20754
191	4911	20192	4923	20588
193	4945	20544
194	4963	20489
195	4985	20451
196	5000	20381
197	50197	4644	18812
198	4652	18728
199	4674	18698
200	4685	18624
201	4707	18598
202	4731	18575
203	4750	18535
204	4773	18510
205	4790	18465
206	4807	18417
207	4829	18390
208	4903	18559
209	4929	18544
210	4960	18547
211	4978	18505
212	4989	18434
213	5017	18427
214	5030	18368
215	5033	18269
216	5040	18188
217	5044	18093
218	5047	18001
219	5050	17906
220	5128	18078
221	5155	18067
222	5165	17999
223	5181	17949
224	5192	17885
225	5210	17844
226	5229	17808
227	5249	17773
228	5261	17716
229	5273	17653
230	5280	231	55231	5389	17841
232	5392	17750
233	5394	17659
234	5396	17568
235	5399	17478
236	5401	17389
237	5403	17301
238	5406	17214
239	5408	17127
240	5411	241	5656	17717
242	5671	17669
243	5690	17631
244	57244	5590	17228
245	5605	17182
246	5620	17133
247	5628248	594248	5635249	596249	5654250	597250	5667251	598251	5681252	599252	5694	16811
253	5703	16750
254	5715	16698
255	5841	16977
256	5852	16919
257	5863	16862
258	5880	16824
259	5901	16797
260	5910	16733
261	5924	16686
262	5937	16638
263	5949	16586
264	5964	16544
265	5970	16474
266	5995	16459
267	6134	16754
268	6138	16680
269	6150	16629
270	6159	16568
271	6169	16511
272	6228	16585
273	6255	16575
274	6266	16520
275	6287	16494
276	6305	16459
277	6331	16444
278	6355	16424
279	6387	16424
280	6402	16382
281	6473	16483
282	6511	16496
283	6529	16460
284	6548	16429
285	6559	16376
286	6571	16325
287	6582	16273
288	6584	16199
289	6673	16337
290	6697	16317
291	6720	16294
292	6730	16241
293	6733	16169
294	6735	16097
295	6738	16025
296	6740	15954
297	6742	15884
298	6745	15814
299	6747	15744
300	6749	15674
301	6849	15829
302	6864	15791
303	6874	15740
304	6886	15691
305	6896306	715306	6908307	716307	6913308	7176	16049
309	7186	15995
310	7192	15935
311	7203	15885
312	7216	15838
313	722313	7011314	7505	16321
315	7507	16251
316	7510	16181
317	7518	16125
318	7522	16058
319	7525	15991
320	7533	15934
321	7535	15867
322	7554	15834
323	7572	15800
324	7589	15762
325	7613	15741
326	7723	15894
327	7737	15851
328	7756	15819
329	7766	15767
330	7774	15714
331	7788	15670
332	7793	15610
333	7803	15559
334	7814	15511
335	782335	7600	15019
336	7615	14983
337	7643	14969
338	7663	14943
339	7678	14905
340	7697	14876
341	7707	14829
342	7720	14788
343	7727	14736
344	7746	14706
345	7762	14671
346	7764	14612
347	7850	14707
348	7860	14662
349	7884350	815350	7892351	8171	15043
352	8181	14995
353	818353	7920354	8200	14899
355	8208	14849
356	8232	14827
357	8242	14781
358	8253	14736
359	8306	14766
360	831360	8091361	8324	14671
362	8333	14623
363	8336	14565
364	8344	14517
365	8350	14464
366	8357	14414
367	8367	14370
368	8372	14316
369	8376	14263
370	8380	14208
371	838371	8353372	839372	8356373	840373	8365374	8647	14412
375	8650	14356
376	8658	14308
377	8662	14254
378	8669	14204
379	8674	14153
380	8682	14106
381	8691	14060
382	870382	8644	13926
383	8648	13873
384	8659	13832
385	8696386	8988	14237
387	8992	14184
388	9000	14137
389	9022	14112
390	9042	14084
391	9061	14054
392	9072	14012
393	9082	13969
394	9096	13931
395	9108	13892
396	9127	13864
397	9288	14049
398	9297	14005
399	9304	13956
400	9308	13904
401	9320	13864
402	9328	13818
403	9336	13773
404	9346	13731
405	9355	13688
406	9366	13646
407	9379	13609
408	9395	13576
409	9539	13728
410	9556	13695
411	9565	13651
412	9570	13602
413	9581	13561
414	9586	13513
415	9591	13465
416	9599	13420
417	9612	13383
418	9623	13343
419	9636	13308
420	9810	13492
421	9824	13456
422	9836	13417
423	9856	13389
424	9874	13359
425	9905	13346
426	9922	13315
427	9949	13296
428	9962	13260
429	10320	13680
430	10334	13643
431	10341	13596
432	10348	13550
433	10355	13505
434	10364	13461
435	10372	13417
436	10383	13376
437	10393	13335
438	10421	13317
439	10437	13284
440	10452	13249
441	10645	13439
442	10653	13395
